2018 Medicare Spent,2019 Medicare Spent,2020 Medicare Spent,2021 Medicare Spent,2022 Medicare Spent
646813.25,54552.02,287928.11,478394.5,963727.4
110533259.58999999,113503902.67,37488706.42,15607922.18,13337165.459999999
47288.21,30668.79,22389.46,13089.61,14080.39
0.0,431699.04,1203742.15,1594938.51,2235180.89
4392883.48,2603527.52,1253823.36,1004580.76,694231.03
19223679.099999998,19588993.630000003,19055450.08,5448266.970000001,719114.2000000001
82213884.01,85487415.38000001,93407236.67,111021695.26,107558088.3
320302.66,202399.4,88767.0,36552.87,6784.5
0.0,0.0,0.0,0.0,6454923.83
0.0,0.0,0.0,0.0,5485812.1
0.0,0.0,0.0,0.0,75471019.37
158088.69,7558965.56,11536234.9,1644924.27,1772407.31
0.0,0.0,10818.57,310062.1,281155.52
871096.76,1202447.14,1343928.44,2114459.4299999997,2820733.74
0.0,7815290.36,20855513.22,10985188.34,2725840.94
13035675.27,53929974.75,104444197.62,149450466.03,173516652.14999998
339.72,882.63,725.54,653.51,417.56
0.0,344.66,0.0,0.0,317.32
449385226.07,623351899.33,811419451.37,874574194.69,1110771260.92
0.0,0.0,1564430.8900000001,1397230.72,1592317.29
0.0,75393987.12,127805673.37,109762440.23,113645345.24
9488225.86,10425283.129999999,10658415.97,10254042.25,8035647.05
24469506.98,23673267.2,21334685.39,5789511.48,398477.51
2946895818.35,3270082056.95,3809111227.0099998,4486629362.84,4776110232.889999
38317707.870000005,48891414.45999999,63211820.0,66322067.580000006,78113691.6
4594338099.79,5641527115.309999,6352820274.7699995,7771166057.4800005,9861444146.07
12998199.87,25121936.33,4681143.649999999,298405.43,51489.76
0.0,0.0,3507793.14,8545575.42,10000943.43
37240150.84,34904448.84,26042379.31,18365652.41,14507746.54
0.0,0.0,155424568.11,176886782.98,140966845.33
0.0,0.0,0.0,110464.52,584289.17
654032.4299999999,1642773.84,2146636.49,2959497.75,3369669.37
7671.17,14115.03,16327.7,15700.65,20738.76
0.0,0.0,1494.92,694.98,939.14
0.0,0.0,0.0,0.0,119161.11
0.0,0.0,0.0,4067189.82,12639888.14
1553026421.93,2205417145.75,2231298120.12,2427040805.9900002,2616689394.88
20089150.81,54476579.98,50789780.64,42454158.07,35277151.33
196726.03999999998,700975.88,1465802.98,1889486.76,1159906.07
31972.31,4063.5499999999997,1846.85,1789.3999999999999,1822.2800000000002
0.0,0.0,441973.87,287804.13,41232.71000000001
27554636.86,36952336.54,40433208.28,55807847.41,73048623.94
0.0,0.0,0.0,0.0,79530.24
251142553.09,234648215.5,212633558.82,187531133.19,183244625.31
0.0,0.0,0.0,0.0,477.79
0.0,0.0,0.0,22459910.48,72738997.68
0.0,0.0,730180.24,1979005.58,4952531.1
224719494.43,254438319.84,217541752.5,174238338.54,210648952.89000002
5944.87,33312.54,23287.5,20445.620000000003,30098.93
74807.08,54105.939999999995,55094.36,41712.17,45293.83
406499.45999999996,385808.48,309543.81999999995,146663.77,623625.92
3263378.4,3429926.77,1790109.54,1617886.57,1765970.07
190041.63,423202.98,323279.95,132218.83,82717.63
1922288.22,2219124.17,1507000.41,658108.4600000001,271242.33
59554.82,104164.70999999999,46024.14,23101.85,20880.489999999998
0.0,0.0,3113878.73,479604.63,35298.06
0.0,0.0,0.0,0.0,2796190.2600000002
0.0,0.0,42361.15,87717.6,73552.22
0.0,0.0,0.0,1413315.44,24647325.96
875197.76,5286720.5600000005,5456556.01,5518185.92,5480813.83
0.0,0.0,17909.92,23939.66,16393.33
2460968.4299999997,3286886.63,3744137.1999999997,3591512.06,3464517.61
46768.16,91928.95,92243.96,112800.08,110115.27
6513.74,4760.85,2809.46,3406.57,3875.06
20027133.14,4189191.42,2145571.28,1287163.53,927322.68
5789674282.589999,8130643168.1,10857904667.37,13573977340.05,16383834584.17
274927.97,279034.52,298195.22,303450.81,304875.82999999996
88085.14,34588.26,22576.06,785695.04,3125313.91
49438.4,20896.129999999997,15304.23,10038.039999999999,3410.16
0.0,0.0,0.0,0.0,2140.49
415891187.22,464574409.87,382176030.85,399733779.15,443449952.90000004
6044592.76,4708649.19,3503808.89,2813390.81,3452282.44
313323262.48,275350129.6,252754039.8,243420819.65,258009375.48999998
21068788.92,29982611.82,24085741.18,15748332.37,13367910.58
0.0,0.0,0.0,0.0,27971.89
450665982.78000003,482261883.93,514928046.02,561794125.61,635589952.02
75963943.51,73038606.67,55764286.81,47560076.949999996,43007713.57
1167428.87,1342497.98,1374114.93,1393203.54,1604726.84
3040.29,5568.85,4382.14,3477.51,4136.83
0.0,0.0,7400574.39,17432264.68,22001911.47
730905611.5,750927920.19,939825978.49,1121959473.67,1268842194.74
22360057.19,35271597.63,40882731.77,39042411.53,41738567.31
273611686.51,291717326.23,311481527.74,328982192.44,343034441.59000003
6690.34,6441.32,6103.8,4120.61,3891.28
0.0,136100.77,8685656.430000002,21175487.91,25146355.689999998
