2018 Medicare Units Produced,2019 Medicare Units Produced,2020 Medicare Units Produced,2021 Medicare Units Produced,2022 Medicare Units Produced
18810.0,12028.0,5054.0,2037.5,364.0
0.0,0.0,0.0,0.0,1901756.85
0.0,0.0,0.0,0.0,201833.0
0.0,0.0,0.0,0.0,243926.0
413429.0,12890604.0,19634884.33,8455808.235,11641496.333
0.0,0.0,48005.0,1232092.96,1057168.0
2712627.0,3761781.0,6929686.242,10869123.333,14369740.685999999
0.0,142686.0,475886.0,478585.63,403713.375
211664.0,815993.0,1451375.0,1910640.0,2055763.0
1900.0,6520.0,5260.0,3760.0,2242.0
0.0,1012.0,0.0,0.0,565.0
1982409075.339,2603116482.225,3452363330.435,3322471347.142,3467351328.592
0.0,0.0,170558.0,255250.0,311008.0
0.0,232998.0,414485.0,356355.0,367455.0
399248.0,393914.0,362284.0,310644.0,175050.0
3040011.0,2566899.0,2293745.0,609594.0,40596.0
161562559.129,154905716.91799998,150408241.87,163199308.45,173172741.67000002
2082520.0,1771403.64,2069024.6,1811729.0,1667105.0
241378872.715,262768555.578,264816982.487,290578616.629,351889411.6391
19445376.0,37676816.3,5739246.0,343344.0,79863.0
0.0,0.0,26640.0,66026.0,70696.0
117487.0,93004.0,47175.0,33564.0,26582.933
0.0,0.0,5633274.293,6551748.813,5110242.753
0.0,0.0,0.0,107543.0,587325.0
1728967.95,2026890.453,1295295.2089999998,1874016.651,1084113.871
6105.0,10819.0,13106.0,12011.0,15581.0
0.0,0.0,224.0,64.0,76.0
0.0,0.0,0.0,0.0,8238.0
0.0,0.0,0.0,60060.0,174720.0
5183665358.209,7385112990.335,7064234049.25,7593748783.775,7848404789.137
8767566.627,14552228.02,14594567.389999999,14950057.867,11728771.756
171587.07,121320.46,89105.04000000001,57036.331000000006,54429.56
140670.0,17200.0,7660.0,6530.0,6370.0
0.0,0.0,546011.0,407753.0,54600.0
3265053.0,2684200.0,2360508.0,2075327.0,1817045.0
0.0,0.0,0.0,0.0,6498.0
14172829.0,11774169.518,9819835.0,8051673.6,7329596.0
0.0,0.0,0.0,0.0,365.0
0.0,0.0,0.0,18966.0,57118.0
0.0,0.0,737.0,1908.0,2742.0
1302592120.619,1737167813.1990001,1754964628.3769999,1210534861.6039999,908896745.365
754.0,3638.0,2964.0,5691.88,18575.58
257453.0,194102.78999999998,172400.36,155503.0,146044.7
58500.0,48085.0,39638.0,27210.0,170226.0
4975272.97,4459644.5,1969338.0,1549298.5,1859426.0
514235.0,1297297.0,1145017.0,549365.0,369051.0
921771.0,742789.0,468191.0,186731.0,77273.0
128022.5,291156.0,95223.0,49941.0,36775.0
0.0,0.0,146219.0,24991.0,3245.0
0.0,0.0,0.0,0.0,123136.0
0.0,0.0,529.2,1015.6,797.0
0.0,0.0,0.0,95890.0,1590640.0
255879.0,5425396.5,4377531.35,3850900.779,3322681.227
0.0,0.0,20405.0,26620.0,17611.92
195688033.024,280664919.371,326024917.364,288212654.292,233276590.143
18454107.9,30170742.6,28399699.06,33049574.973,33582187.934
28660.0,21025.0,10883.0,12430.0,14174.0
634922.0,134291.0,68921.0,40240.0,28078.0
719178670.3199999,984287872.0400001,1261830628.256,1480493259.649,1671879919.116
299803.0,307919.0,333645.0,342028.0,343115.0
13087.0,7366.0,5291.0,20060.0,62783.0
38272.0,18144.0,13672.0,8635.0,3328.0
0.0,0.0,0.0,0.0,4309.2
60483762.827,67359362.043,56633514.626,56800621.197,68149477.578
726251.5,571919.75,455187.0,413193.5,486349.833
12561107.4,10365659.7,9112887.2,7593131.571,7007231.3
59896.0,74483.0,79639.8,40790.0,37880.0
0.0,0.0,0.0,0.0,65.0
172357863.144,187206435.331,196557994.76,198672066.0,200841799.6
1239775843.04,1256002743.96,1337715571.679,1142763528.039,1076474147.604
29224263.0,37142721.655,47753083.545,62474266.606,87154088.598
267252.0,424109.0,378956.0,293000.0,332400.0
0.0,0.0,14450.0,43014.0,58458.0
4975387.237,5129365.334,6765056.763,8371655.799,12226183.493999999
205370570.703,322724951.033,348919124.99,325861907.548,315526884.097
786524602.8659999,793591131.194,818862151.2850001,830306976.9959999,779508830.837
